维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
S1数值	unit_cs:minion-horde	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=100	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minion-horde	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=Minion	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minion-horde	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=6	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minion-horde	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=600	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minions	aoe_radius_mt ↔ 官方 area_damage_radius	0	Minion:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	atk_air ↔ 官方 attacks_air	1	Minion:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	atk_ground ↔ 官方 attacks_ground	1	Minion:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	damage ↔ 官方 damage_per_level	117	Minion:damage_per_level = 117	ours=117 official=117	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	Minion:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	death_damage ↔ 官方 death_damage	0	Minion:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	death_spawn_n ↔ 官方 death_spawn_count	0	Minion:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	deploy_ms ↔ 官方 deploy_time	1000	Minion:deploy_time = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	flying ↔ 官方 flying_height	1	Minion:flying_height = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	hit_speed_ms ↔ 官方 hit_speed	1000	Minion:hit_speed = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	hp ↔ 官方 hitpoints_per_level	230	Minion:hitpoints_per_level = 230	ours=230 official=230	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	id (本项目自定列)	-	本项目自定：id	ours=26020010	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minions	key (本项目自定列)	-	本项目自定：key	ours=minions	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minions	kind (本项目自定列)	-	本项目自定：kind	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minions	life_ms ↔ 官方 life_time	0	Minion:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	load_time_ms ↔ 官方 load_time	500	Minion:load_time = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	mass ↔ 官方 mass	2	Minion:mass = 2	ours=2 official=2	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=亡灵	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minions	only_buildings ↔ 官方 target_only_buildings	0	Minion:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	only_towers ↔ 官方 target_only_towers	0	Minion:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	only_troops ↔ 官方 target_only_troops	0	Minion:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	projectile_key ↔ 官方 custom_first_projectile/projectile	MinionSpit	Minion:custom_first_projectile/projectile = MinionSpit	ours=MinionSpit official=MinionSpit	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	radius_mt ↔ 官方 collision_radius	500	Minion:collision_radius = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	range_mt ↔ 官方 range	1600	Minion:range = 1600	ours=1600 official=1600	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	sight_mt ↔ 官方 sight_range	5500	Minion:sight_range = 5500	ours=5500 official=5500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	Minion:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	spawn_limit ↔ 官方 spawn_limit	0	Minion:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	spawn_n ↔ 官方 spawn_number	0	Minion:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	spawn_radius_mt ↔ 官方 spawn_radius	0	Minion:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	speed ↔ 官方 speed	90	Minion:speed = 90	ours=90 official=90	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minions	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=chr_minion_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minions	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=100	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minions	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=Minion	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minions	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minions	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mortar	aoe_radius_mt ↔ 官方 area_damage_radius	0	Mortar:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	atk_air ↔ 官方 attacks_air	0	Mortar:attacks_air = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	atk_ground ↔ 官方 attacks_ground	1	Mortar:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	damage ↔ 官方 damage_per_level	266	Mortar:damage_per_level = 266	ours=266 official=266	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	Mortar:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	death_damage ↔ 官方 death_damage	0	Mortar:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	death_spawn_n ↔ 官方 death_spawn_count	0	Mortar:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	deploy_ms ↔ 官方 deploy_time	3500	Mortar:deploy_time = 3500	ours=3500 official=3500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	flying ↔ 官方 flying_height	0	Mortar:flying_height = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	hit_speed_ms ↔ 官方 hit_speed	5000	Mortar:hit_speed = 5000	ours=5000 official=5000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	hp ↔ 官方 hitpoints_per_level	1369	Mortar:hitpoints_per_level = 1369	ours=1369 official=1369	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	id (本项目自定列)	-	本项目自定：id	ours=26020050	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mortar	key (本项目自定列)	-	本项目自定：key	ours=mortar	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mortar	kind (本项目自定列)	-	本项目自定：kind	ours=1	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mortar	life_ms ↔ 官方 life_time	30000	Mortar:life_time = 30000	ours=30000 official=30000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	load_time_ms ↔ 官方 load_time	4000	Mortar:load_time = 4000	ours=4000 official=4000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	mass ↔ 官方 mass	0	Mortar:mass = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=迫击炮	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mortar	only_buildings ↔ 官方 target_only_buildings	0	Mortar:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	only_towers ↔ 官方 target_only_towers	0	Mortar:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	only_troops ↔ 官方 target_only_troops	0	Mortar:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	projectile_key ↔ 官方 custom_first_projectile/projectile	MortarProjectile	Mortar:custom_first_projectile/projectile = MortarProjectile	ours=MortarProjectile official=MortarProjectile	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	radius_mt ↔ 官方 collision_radius	600	Mortar:collision_radius = 600	ours=600 official=600	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	range_mt ↔ 官方 range	11500	Mortar:range = 11500	ours=11500 official=11500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	sight_mt ↔ 官方 sight_range	11500	Mortar:sight_range = 11500	ours=11500 official=11500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	Mortar:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	spawn_limit ↔ 官方 spawn_limit	0	Mortar:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	spawn_n ↔ 官方 spawn_number	0	Mortar:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	spawn_radius_mt ↔ 官方 spawn_radius	0	Mortar:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	speed ↔ 官方 speed	0	Mortar:speed = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mortar	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=building_mortar_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mortar	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mortar	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mortar	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mortar	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:musketeer	aoe_radius_mt ↔ 官方 area_damage_radius	0	Musketeer:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	atk_air ↔ 官方 attacks_air	1	Musketeer:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	atk_ground ↔ 官方 attacks_ground	1	Musketeer:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	damage ↔ 官方 damage_per_level	218	Musketeer:damage_per_level = 218	ours=218 official=218	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	Musketeer:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	death_damage ↔ 官方 death_damage	0	Musketeer:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	death_spawn_n ↔ 官方 death_spawn_count	0	Musketeer:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	deploy_ms ↔ 官方 deploy_time	1000	Musketeer:deploy_time = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	flying ↔ 官方 flying_height	0	Musketeer:flying_height = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	hit_speed_ms ↔ 官方 hit_speed	1000	Musketeer:hit_speed = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	hp ↔ 官方 hitpoints_per_level	720	Musketeer:hitpoints_per_level = 720	ours=720 official=720	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	id (本项目自定列)	-	本项目自定：id	ours=26020022	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:musketeer	key (本项目自定列)	-	本项目自定：key	ours=musketeer	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:musketeer	kind (本项目自定列)	-	本项目自定：kind	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:musketeer	life_ms ↔ 官方 life_time	0	Musketeer:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	load_time_ms ↔ 官方 load_time	200	Musketeer:load_time = 200	ours=200 official=200	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	mass ↔ 官方 mass	5	Musketeer:mass = 5	ours=5 official=5	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=火枪手	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:musketeer	only_buildings ↔ 官方 target_only_buildings	0	Musketeer:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	only_towers ↔ 官方 target_only_towers	0	Musketeer:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	only_troops ↔ 官方 target_only_troops	0	Musketeer:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	projectile_key ↔ 官方 custom_first_projectile/projectile	MusketeerProjectile	Musketeer:custom_first_projectile/projectile = MusketeerProjectile	ours=MusketeerProjectile official=MusketeerProjectile	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	radius_mt ↔ 官方 collision_radius	500	Musketeer:collision_radius = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	range_mt ↔ 官方 range	6000	Musketeer:range = 6000	ours=6000 official=6000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	sight_mt ↔ 官方 sight_range	6000	Musketeer:sight_range = 6000	ours=6000 official=6000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	Musketeer:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	spawn_limit ↔ 官方 spawn_limit	0	Musketeer:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:musketeer	spawn_n ↔ 官方 spawn_number	0	Musketeer:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
